claim,label
1,Britain to reveal trial criteria for coronavirus antibody tests.,TRUE
2,Viral image Says BBC prematurely reported “Ghislaine Maxwell moved to intensive care as coronavirus symptoms worsen.”,FALSE
3,Slovakia's new government to sharply ramp up coronavirus testing.,TRUE
4,The coronavirus is “simply the common cold.”,FALSE
5,Instagram posts Says no one has died from the coronavirus in the United States.,FALSE
6,'Enemy of mankind': Coronavirus deaths top SARS as China returns to work.,TRUE
7,An audio message lists five ways people can prevent the novel coronavirus.,FALSE
8,"Tokyo reports 143 new coronavirus cases, highest jump in one day: governor.",TRUE
9,"A Washington, DC clergyman tested positive for COVID-19, potentially exposing congregants.",TRUE
10,"This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.",FALSE
11,Indonesia reports biggest jump in coronavirus deaths as Malaysia trend improves.,TRUE
12,Facebook post Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,FALSE
13,"""Hot mic"""" video from a White House coronavirus briefing revealed a far lower """"real"""" case-fatality rate, as well as the existence of a vaccine provided to the government and the press corps (but not you.)""",FALSE
14,Cruise ship passengers 'in limbo' off San Francisco awaiting coronavirus tests.,TRUE
15,The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”,FALSE
16,Iran plans tougher restrictions as coronavirus toll rises.,TRUE
17,"Wearing masks for the coronavirus “decreases oxygen intake, increases toxin inhalation, shuts down immune system, increases virus risk, scientifically inaccurate, effectiveness not studied.”",FALSE
18,"Covid-19 clots the blood causing thrombosis, stopping blood flow and oxygenating the heart and lungs.",FALSE
19,Italy experts say reliable coronavirus antibody test may be ready soon.,TRUE
20,Denver to furlough thousands of workers amid coronavirus.,TRUE
21,"If you can hold your breath without coughing, discomfort, stiffness, or tightness, your lungs do not suffer from fibrosis and therefore you have no COVID-19 infection.",FALSE
22,Austria bets on mass testing to manage coronavirus spread.,TRUE
23,Groups sow doubt about COVID vaccine before one even exists.,TRUE
24,Europe grapples with 'socio-economic tsunami' of coronavirus crisis.,TRUE
25,"""A photograph shows a genuine crop circle resembling a logo for Microsoft Windows and the """"crown"""" shape associated with coronaviruses.""",FALSE
26,Drinking “water a lot and gargling with warm water & salt or vinegar eliminates” the coronavirus.,FALSE
27,Burundi defies COVID-19 for election ending a bloody rule.,TRUE
28,"Dr. Vladimir Zelenko's 669 COVID-19 patients that were treated with a combination of hydroxychloroquine, azithromycin, and zinc have seen zero hospitalizations, complications, or deaths.",unproven
29,Cathay to let crew wear masks on all flights due to new coronavirus.,TRUE
30,Coronavirus epidemic 'under control' in Norway: health minister.,TRUE
31,New York City Health (NYC Health) issued official guidelines for sex during a global coronavirus pandemic.,TRUE
32,"Portugal suspends water, electricity shutoffs and releases some prisoners amid coronavirus outbreak.",TRUE
33,Asia prepares for coronavirus boomerang wave as residents return home.,TRUE
34,"Italy coronavirus deaths jump to 52, cases climb above 2,000.",TRUE
35,"The 1988 animated film Akira predicted the 2020 Olympics would be in Tokyo, and that a pandemic (Coronavirus) would lead to its cancellation.",mixture
36,Israelis put on coronavirus lockdown for Passover holiday celebration.,TRUE
37,"Nevada has 94 new coronavirus cases, pushing total to 1,836.",TRUE
38,Drinking boiled garlic water will cure COVID-19.,FALSE
39,“People Of Color May Be Immune To The Coronavirus Because Of Melanin.”,FALSE
40,Condom manufacturer Durex created a coronavirus advertisement comparing face masks to condoms.,unproven
41,Prolonged use of COVID-19-related face masks cause health problems due to breathing in too much exhaled carbon dioxide.,FALSE
42,"""DeAnna Lorraine Says of COVID-19 that Dr. Anthony Fauci """"was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.""",FALSE
43,"Italy coronavirus deaths surge by 793 in a day, lifting total death toll to 4,825.",TRUE
44,"States like New York, Illinois and California have been vocal in their demands for funding to bail out their pension systems, which were failing long before the COVID-19 outbreak, and other programs that aren’t related to this crisis.",FALSE
45,UK scientists to make a million potential COVID-19 vaccines before proof.,TRUE
46,Adherence to social distancing spurs dip in projected U.S. coronavirus deaths.,TRUE
47,"""Under the """"COVID Act,"""" school officials in the U.S. can quarantine children with COVID-19 symptoms outside their family home without their parents' or guardians' consent.""",FALSE
48,"Rattled world 'at war' with coronavirus as deaths surge in Italy, France.",TRUE
49,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread.,FALSE
50,“The coronavirus was invented and patented in the USA and then planted in China.”,FALSE
51,"Fast-food companies in China step up ‘contactless’ pickup, delivery as coronavirus rages.",TRUE
52,South Korea reports recovered coronavirus patients testing positive again.,TRUE
53,Testing of a vaccine against COVID-19 caused 61 out of 63 female subjects to become infertile.,FALSE
54,Three-pronged distancing most effective at controlling COVID-19: study.,TRUE
55,Potential COVID-19 vaccine shows promise in mouse study.,TRUE
56,"""Dr. Anthony Fauci """"has known for 15 years that chloroquine and … hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases.”""",FALSE
57,"""The CDC """"quietly updated"""" its COVID-19 mortality statistics in summer 2020 to show only 6% of previously reported deaths were actually due to the coronavirus, while the remaining 94% died from preexisting health conditions. """,FALSE
58,Indians light lamps to heed Modi's call for coronavirus comradeship.,TRUE
59,French nursing home learns costly lessons on containing coronavirus.,TRUE
60,Coronavirus test ramp-up to help Abbott weather 'toughest quarter'.,TRUE
61,"A doctor in Italy shared numerous details about how hospitals in the country are dealing with COVID-19, a disease caused by the new coronavirus.",TRUE
62,A drop of 21 million cellphone subscribers in China in early 2020 documents that the death toll from COVID-19 was vastly underreported in that country.,unproven
63,Jakarta coffin maker faces gruelling days as coronavirus death toll climbs.,TRUE
64,"""Being exposed to the sun for two hours"""" kills the 2019 coronavirus.""",FALSE
65,"India shuts down flights, big cities as coronavirus toll rises in region.",TRUE
66,“COVID19 PCR tests are scientifically meaningless.”,FALSE
67,U.S. group bombards doctors with coronavirus petition to cut 'red tape'.,TRUE
68,A viral photograph showing a canine coronavirus vaccine demonstrates that there should already exist a human vaccine for COVID-19.,FALSE
69,A photograph shows protesters displaying an anti-Semitic sign during a COVID-19 lockdown protest.,TRUE
70,The Centers for Disease Control and Prevention's guidelines for listing COVID-19 on death certificates in the absence of a test are resulting in a case overcount.,FALSE
71,"""New evidence"""" shows that wearing a face mask can """"help coronavirus enter the brain"""" and """"pose more health risk.""",FALSE
72,Former U.S. Rep. Trey Gowdy penned a text suggesting that COVID-19 was part of a conspiracy against U.S. President Donald Trump.,FALSE
73,"In a policy that established requirements for people to wear masks in most public settings during the COVID-19 pandemic, Oregon's Lincoln County said in June 2020 residents of color are exempt from the rule.",mixture
74,Vegetarians are unaffected by COVID-19 because the virus is passed on through eating meat.,FALSE
75,"China reports 97 new coronavirus deaths on mainland on Sunday, toll rises to 908.",TRUE
76,Murphy: State doubling coronavirus ‘contact tracers’.,TRUE
77,Fauci says threats to his personal security 'secondary' to curbing coronavirus.,TRUE
78,"“Under the leadership of @WVGovernor Justice, West Virginia now has the highest rate of COVID-19 spread from person to person than any other state.”",mixture
79,"China's new coronavirus cases fall, eyes on northeastern province.",TRUE
80,"U.N. to create global coronavirus fund, Norway says.",TRUE
81,"Homemade masks are sufficient against coronavirus exposure during a shortage of masks, N95 respirators, and other personal protective equipment (PPE).",mixture
82,Warmer weather will inhibit the spread of the new coronavirus.,unproven
83,"Africa, Latin America fragile targets for coronavirus spread.",TRUE
84,"Britain reports two cases of coronavirus, evacuation flight from China lands.",TRUE
85,"France's rate of coronavirus infections, deaths accelerating again.",TRUE
86,"Confusion, concern as locked-down Philippines starts coronavirus quarantine.",TRUE
87,Dan Crenshaw Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,TRUE
88,Greece has won a battle against COVID-19 but war is not over: PM.,TRUE
89,You cannot catch Covid-19 person to person.,TRUE
90,“It has been estimated that only 12% of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package.,TRUE
91,The White House Gift Shop is selling coronavirus commemorative coins. ,FALSE
92,Long lines at San Francisco area cannabis stores exempt from coronavirus lockdown.,TRUE
93,"""On July 28 2020, United States President Donald Trump lamented that doctors Anthony Fauci and Deborah Birx were popular for their coronavirus response, but """"nobody likes me.""",TRUE
94,There’s more cases of Covid in the White House than in all of New Zealand.,FALSE
95,A drug used to treat animal parasites like heartworm and roundworm is a potential cure for coronavirus. ,unproven
96,Donald Trump Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,TRUE
97,"Canada coronavirus deaths jump by 35%, Quebec says equipment running low.",TRUE
98,South Korea declares new 'special care zone' as coronavirus spreads.,TRUE
99,Coronavirus supplies donated by Alibaba's Ma arrive in Africa.,TRUE
100,"Greta Thunberg says probably had COVID-19, urges #StayAtHome.",TRUE
101,Explainer: What are coronavirus antibody tests?.,TRUE
102,“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”,FALSE
103,Australia begins pre-clinical testing for coronavirus vaccine.,TRUE
104,Facebook post Says the coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”,FALSE
105,"'I thought I would never wake up,' Belgian doctor says after surviving COVID-19.",TRUE
106,“Hair weave and lace fronts manufactured in China may contain the coronavirus.”,FALSE
107,"Dr. Abdu Sharkawy, an infectious diseases specialist, penned a viral Facebook post warning about the loss of reason in the face of panic over the new coronavirus in 2020.",TRUE
108,China's Wuhan to keep testing residents as coronavirus lockdown eases.,TRUE
109,"For richer or poorer: coronavirus, cheap oil test climate vows.",TRUE
110,High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.,FALSE
111,Researchers identify two coronavirus strains as China cases dwindle.,TRUE
112,Coronavirus pandemic disrupts Appalachian Trail dreams.,TRUE
113,European labs to receive control material to spot false negative coronavirus tests.,TRUE
114,“Queen Elizabeth tests positive for COVID-19.”,FALSE
115,Swedish PM tells Swedes to take responsibility in national address on coronavirus.,TRUE
116,“The spot where they are ‘getting a sample’ for the COVID-19 test is called your Blood-Brain Barrier.”,FALSE
117,"""U.S. President Donald Trump said """"hundreds"""" of governors are calling him amid the COVID-19 coronavorus pandemic.""",FALSE
118,People with Type-A blood are more susceptible to COVID-19.,unproven
119,"French coronavirus death toll tops 1,000, lockdown likely to be extended.",TRUE
120,"""Young people """"have a greater chance of being killed by the HPV vaccine than COVID-19.”""",FALSE
121,First daughter Ivanka Trump was granted a trademark on coffins in China and stands to profit from the COVID-19 pandemic.,mixture
122,Ventilator receives first approval in UK's coronavirus battle.,TRUE
123,US report indicates broad risk of COVID-19 at wildfire camps.,TRUE
124,"Facebook post Says COVID-19 testing could be done with mouth swabs, so maybe deeper swabbing is “implanting something.”",FALSE
125,'Like wartime' - Philippine doctors overwhelmed by coronavirus deluge.,TRUE
126,China reports 1st death from new type of coronavirus .,TRUE
127,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,FALSE
128,"""The COVID-19 coronavirus disease is """"spreading quickly from gas pumps.""",mixture
129,"Viral image Says if you donate blood, “they HAVE to test you” for coronavirus.",FALSE
130,"""COVID-19"""" is named so because it is the 19th """"Chinese-Originated Viral Infectious Disease.""",FALSE
131,"Global coronavirus death toll hits 100,000, cases over 1.6 million.",TRUE
132,"""A COVID-19 protester held a sign that said """"muzzles are for dogs and slaves,"""" alongside an illustration of a masked woman of color.""",TRUE
133,"Four charts show the respective COVID-19 infection rates in the United States, France, Italy, and Spain.",mixture
134,"When stocking up for coronavirus-related social distancing, avoid WIC-approved supermarket items, because they may run out and leave families dependent on WIC with no ability to purchase food.",unproven
135,Technology coming to Virginia allows COVID-19 personal protection equipment to be “decontaminated and reused 20 times without degrading performance.”,mixture
136,"Italy coronavirus deaths pass 7,500 amid fears of spread to south.",TRUE
137,Dutch restaurants solved the problem of dining out during the COVID-19 coronavirus disease pandemic by installing personal greenhouse booths.,mixture
138,"CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.",FALSE
139,A member of the Okeechobee County Commission in Florida promoted a claim that using a blow dryer could cure people of COVID-19.,TRUE
140,Amazon is soliciting public donations to fund sick leave during the COVID-19 pandemic.,TRUE
141,"Coronavirus spreads fear, isolation, death to elderly worldwide.",TRUE
142,Philippines coronavirus testing to be stepped up soon: WHO.,TRUE
143,“Small trials” to test convalescent plasma therapy for coronavirus patients “seem to have had some degree of success.”,TRUE
144,"""Self-described psychic Sylvia Browne """"predicted"""" a 2020 outbreak of the new coronavirus.""",mixture
145,China's Xi offers Trump help in coronavirus fight as Wuhan reopens to traffic.,TRUE
146,New Zealand orders quarantine for returning citizens in coronavirus battle.,TRUE
147,"As of June 23, the COVID-19 death rate is “way down.”",TRUE
148,"After-coronavirus, SE Asia strongly favours crackdown on wildlife trade, says WWF.",TRUE
149,"In February 2020 the Vatican said that Pope Francis and two aides had tested positive for COVID-19, a disease caused by a new coronavirus.",FALSE
150,Exclusive: Nurses at Mexico hospital hit by coronavirus say they were told to avoid masks.,TRUE
151,"As coronavirus takes emotional toll, mental health professionals brace for spike in demand.",TRUE
152,Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system.,FALSE
153,Number of U.S. coronavirus cases of unknown origin climbs to four.,TRUE
154,U.S. to start antibody testing of sailors on coronavirus-hit aircraft carrier.,TRUE
155,"Congo, weary from Ebola, must also battle the coronavirus.",TRUE
156,Covidien to stop making hypertension devices.,TRUE
157,Malaysia steps up coronavirus tests as it braces for 'worst scenario'.,TRUE
158,"Rugby fans in New Zealand attended a live match on June 26 2020, because the country has successfully suppressed COVID-19.",TRUE
159,President Trump gave a talk during the COVID-19 pandemic in which he remonstrated about showers and dishwashers not functioning properly due to low-flow standards.,TRUE
160,Canada's coronavirus death toll rises to 13 as repatriation efforts step up.,TRUE
161,U.S. nurses who can't get tested fear they are spreading COVID-19.,TRUE
